frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
231,9.501509433962264,0,,,,,,,,,,,15.3,46.5,UNSAMPLED,0
232,9.542641509433961,1,15.4,46.8,154,46.8,15.4,46.8,154,46.8,green_difference/PSM7,green_difference/PSM7,15.4,46.8,ACCEPT_PRIMARY,0
233,9.58377358490566,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
234,9.624905660377358,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
235,9.666037735849056,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
236,9.707169811320755,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
237,9.748301886792452,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
238,9.78943396226415,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
239,9.83056603773585,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
240,9.871698113207547,1,15.4,46.8,154,46.8,15.4,46.8,154,46.8,green_difference/PSM7,green_difference/PSM7,15.4,46.8,ACCEPT_PRIMARY,0
241,9.912830188679244,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
242,9.953962264150944,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
243,9.995094339622641,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
244,10.036226415094339,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
245,10.077358490566038,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
246,10.118490566037735,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
247,10.159622641509433,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
248,10.200754716981132,1,15.4,467.7,15.4,4677,15.4,46.7,15.4,46.7,green_difference/PSM7,green_channel_otsu/PSM7,15.4,46.7,ACCEPT_RETRY,1
249,10.24188679245283,0,,,,,,,,,,,15.4,46.7,UNSAMPLED,0
250,10.283018867924527,0,,,,,,,,,,,15.4,46.7,UNSAMPLED,0
251,10.324150943396226,0,,,,,,,,,,,15.4,46.7,UNSAMPLED,0
252,10.365283018867924,0,,,,,,,,,,,15.4,46.7,UNSAMPLED,0
253,10.406415094339621,0,,,,,,,,,,,15.4,46.7,UNSAMPLED,0
254,10.44754716981132,0,,,,,,,,,,,15.4,46.7,UNSAMPLED,0
255,10.488679245283018,0,,,,,,,,,,,15.4,46.7,UNSAMPLED,0
256,10.529811320754716,1,15.4,46.8,15.4,46.80,15.4,46.8,15.4,46.80,green_difference/PSM7,green_difference/PSM7,15.4,46.8,ACCEPT_PRIMARY,0
257,10.570943396226415,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
258,10.612075471698112,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
259,10.65320754716981,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
260,10.69433962264151,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
261,10.735471698113207,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
262,10.776603773584904,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
263,10.817735849056604,0,,,,,,,,,,,15.4,46.8,UNSAMPLED,0
264,10.858867924528301,1,15.4,45.7,15.4,457,15.4,45.7,15.4,457,green_difference/PSM7,green_difference/PSM7,15.4,45.7,ACCEPT_PRIMARY,0
265,10.899999999999999,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
266,10.941132075471698,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
267,10.982264150943395,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
268,11.023396226415095,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
269,11.064528301886792,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
270,11.10566037735849,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
271,11.146792452830189,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
272,11.187924528301886,1,,470.0,17,4700,15.7,47.0,15.7,470,green_channel_otsu/PSM7,hsv_green/PSM7,15.7,47.0,ACCEPT_RETRY,1
273,11.229056603773584,0,,,,,,,,,,,15.7,47.0,UNSAMPLED,0
274,11.270188679245283,0,,,,,,,,,,,15.7,47.0,UNSAMPLED,0
275,11.31132075471698,0,,,,,,,,,,,15.7,47.0,UNSAMPLED,0
276,11.352452830188678,0,,,,,,,,,,,15.7,47.0,UNSAMPLED,0
277,11.393584905660378,0,,,,,,,,,,,15.7,47.0,UNSAMPLED,0
278,11.434716981132075,0,,,,,,,,,,,15.7,47.0,UNSAMPLED,0
279,11.475849056603773,0,,,,,,,,,,,15.7,47.0,UNSAMPLED,0
280,11.516981132075472,1,15.4,46.5,15.4,46.50,15.4,46.5,15.4,46.50,green_difference/PSM7,green_difference/PSM7,15.4,46.5,ACCEPT_PRIMARY,0
281,11.55811320754717,0,,,,,,,,,,,15.4,46.5,UNSAMPLED,0
282,11.599245283018867,0,,,,,,,,,,,15.4,46.5,UNSAMPLED,0
283,11.640377358490566,0,,,,,,,,,,,15.4,46.5,UNSAMPLED,0
284,11.681509433962264,0,,,,,,,,,,,15.4,46.5,UNSAMPLED,0
