frame,timestamp_seconds,state,view_id,view_name,motion_translation_pixels,motion_rotation_deg,motion_scale,motion_inliers,motion_inlier_ratio,edge_change_ratio,moving_evidence,stable_evidence,event
141,5.799605133267522,NEW_STABLE_VIEW,2,VIEW_002,0.0022524172631518203,-0.00018820080140316857,0.9999960322669565,516,1.0,0.002860278710879037,0,1,
142,5.840737084567292,NEW_STABLE_VIEW,2,VIEW_002,0.0001299068660666089,2.223862919077845e-05,0.9999995530706443,519,1.0,0.00027438720191572157,0,1,
143,5.881869035867061,NEW_STABLE_VIEW,2,VIEW_002,0.0003672951830811872,-1.6927178572756113e-05,0.9999996528992297,519,1.0,0.0008356337512887884,0,1,
144,5.923000987166831,NEW_STABLE_VIEW,2,VIEW_002,0.0077082006305987365,-0.000320049140815186,0.9999927238768836,518,1.0,0.016451101936964467,0,1,
145,5.964132938466601,NEW_STABLE_VIEW,2,VIEW_002,0.008429736276833287,0.0007882336352156446,1.0000090667917092,510,1.0,0.019655692792496914,0,1,
146,6.00526488976637,NEW_STABLE_VIEW,2,VIEW_002,0.01803844575035387,-0.0009944007018318436,0.9999929376926596,515,1.0,0.025710019920898646,0,1,
147,6.04639684106614,NEW_STABLE_VIEW,2,VIEW_002,0.002404468349317213,-0.00010623446496268433,1.0000091283792265,511,1.0,0.01037335772492932,0,1,
148,6.08752879236591,NEW_STABLE_VIEW,2,VIEW_002,0.0008826641663784623,-3.570815888309182e-05,0.9999986895494943,511,1.0,0.0037335462036736764,0,1,
149,6.128660743665679,NEW_STABLE_VIEW,2,VIEW_002,0.002887795371025685,-0.0002281989734734206,0.9999970258096439,510,1.0,0.005475431236981819,0,1,
150,6.169792694965449,NEW_STABLE_VIEW,2,VIEW_002,0.0005067779519441856,-4.454654388017702e-05,0.9999988910063121,511,1.0,0.0015091735300109342,0,1,
151,6.210924646265219,NEW_STABLE_VIEW,2,VIEW_002,0.0005711051990522257,8.195068473007514e-05,1.0000004320160776,512,1.0,0.0009645486785267351,0,1,
152,6.252056597564988,NEW_STABLE_VIEW,2,VIEW_002,0.0001555633584967543,-9.163647980638988e-05,0.9999992843802041,511,1.0,0.0013719816403911394,0,1,
153,6.293188548864758,NEW_STABLE_VIEW,2,VIEW_002,0.0003159735911987417,1.8228958910959194e-05,0.9999999353423606,512,1.0,0.0005072153461744737,0,1,
154,6.3343205001645275,NEW_STABLE_VIEW,2,VIEW_002,0.00019952830674939257,4.65553685657977e-05,1.0000004521272268,511,1.0,0.0015798510782483609,0,1,
155,6.375452451464297,NEW_STABLE_VIEW,2,VIEW_002,0.000443702308874705,-2.6904467374432337e-05,0.9999998988549375,512,1.0,0.0009312806355990338,0,1,
156,6.416584402764067,NEW_STABLE_VIEW,2,VIEW_002,0.016408156134734685,-0.00050021344130678,0.9999789351477977,511,1.0,0.03344647150332344,0,1,
157,6.4577163540638365,NEW_STABLE_VIEW,2,VIEW_002,0.008471097829526696,-0.0005122744711094352,1.0000159147974568,514,1.0,0.01909429914817725,0,1,
158,6.498848305363606,NEW_STABLE_VIEW,2,VIEW_002,0.0011331633764733548,0.0002059802771114522,1.000003864759186,518,1.0,0.0039831692389568915,0,1,
159,6.539980256663376,NEW_STABLE_VIEW,2,VIEW_002,0.0002532828517276563,7.877460329693509e-05,0.9999999857787458,516,1.0,0.00239036537254364,0,1,
160,6.581112207963145,NEW_STABLE_VIEW,2,VIEW_002,0.0011943166784378816,-0.000228354098560904,1.0000033725701933,515,1.0,0.0008438818565400844,0,1,
161,6.622244159262915,NEW_STABLE_VIEW,2,VIEW_002,0.0009649459554757279,-0.00017699582081245,0.9999984064682812,516,1.0,0.0009519692044197976,0,1,
162,6.663376110562685,NEW_STABLE_VIEW,2,VIEW_002,0.001547871737231627,0.00017925561551783792,1.0000003538644844,515,1.0,0.001845747091077642,0,1,
163,6.704508061862454,NEW_STABLE_VIEW,2,VIEW_002,0.000915582314864911,-0.00010998592156989983,0.9999976497027153,515,1.0,0.00042402298038270153,0,1,
164,6.745640013162224,NEW_STABLE_VIEW,2,VIEW_002,0.000531468574556511,6.094842310553642e-05,1.0000024935231626,515,1.0,7.482758477341791e-05,0,1,
165,6.786771964461994,NEW_STABLE_VIEW,2,VIEW_002,0.00029784427617837706,-3.8956980766713955e-05,0.9999980075246686,515,1.0,5.4042144558579607e-05,0,1,
166,6.827903915761763,NEW_STABLE_VIEW,2,VIEW_002,0.000561485295401279,5.338170544820725e-05,1.000002665033615,515,1.0,0.00021201237154544548,0,1,
167,6.869035867061533,STABLE,2,VIEW_002,0.0004458743445145554,-1.4442576664519944e-06,0.9999970578856088,515,1.0,0.0004905384282816189,0,1,
168,6.910167818361303,STABLE,2,VIEW_002,0.00843177324736388,1.996025560058046e-05,0.9999774189333487,515,1.0,0.01909813882526076,0,1,
169,6.951299769661072,STABLE,2,VIEW_002,0.007801242138755886,-4.2695830112493627e-05,1.0000176563659662,513,1.0,0.012429796591990887,0,1,
170,6.992431720960842,STABLE,2,VIEW_002,0.0010737210054806807,0.00029105579466300844,1.000000707745813,521,1.0,0.0020369900769483394,0,1,
171,7.033563672260612,STABLE,2,VIEW_002,0.0006453601972921292,-4.932007923515349e-05,0.9999982347614491,519,1.0,0.0002660558467850892,0,1,
172,7.074695623560381,STABLE,2,VIEW_002,0.0003697940567299235,2.576711792616209e-05,1.0000014891337308,519,1.0,8.314245212034039e-05,0,1,
173,7.115827574860151,STABLE,2,VIEW_002,0.0008243854802980768,-7.322057954561955e-05,0.9999991099411673,519,1.0,6.235683909025528e-05,0,1,
174,7.156959526159921,STABLE,2,VIEW_002,0.0004445898053601329,-0.00010874379525839826,1.0000021684677087,519,1.0,0.00046144252754105175,0,1,
175,7.19809147745969,STABLE,2,VIEW_002,0.0005303788312008716,-3.3335534959445007e-06,0.9999985971464861,520,1.0,7.4827895839569e-05,0,1,
