frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
151,6.118412737293325,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
152,6.158932026944274,1,29.3,747.0,293,7470,,,,,,,29.3,74.6,HOLD_PREVIOUS,1
153,6.199451316595224,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
154,6.239970606246173,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
155,6.280489895897122,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
156,6.321009185548071,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
157,6.36152847519902,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
158,6.40204776484997,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
159,6.442567054500919,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
160,6.483086344151868,1,29.3,74.8,29.30,748,29.3,74.8,29.30,748,green_difference/PSM7,gray_otsu/PSM7,29.3,74.8,ACCEPT_PRIMARY,0
161,6.523605633802817,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
162,6.564124923453766,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
163,6.604644213104716,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
164,6.645163502755665,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
165,6.685682792406614,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
166,6.726202082057563,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
167,6.766721371708512,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
168,6.807240661359462,1,293.0,74.8,2930,748,29.3,74.8,293,748,green_difference/PSM8,gray_otsu/PSM7,29.3,74.8,ACCEPT_RETRY,1
169,6.847759951010411,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
170,6.88827924066136,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
171,6.928798530312309,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
172,6.969317819963258,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
173,7.009837109614208,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
174,7.050356399265157,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
175,7.090875688916106,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
176,7.131394978567055,1,29.3,74.8,29.30,748,29.3,74.8,29.30,748,green_difference/PSM7,gray_otsu/PSM7,29.3,74.8,ACCEPT_PRIMARY,0
177,7.171914268218004,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
178,7.212433557868954,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
179,7.252952847519903,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
180,7.293472137170852,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
181,7.333991426821801,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
182,7.37451071647275,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
183,7.415030006123699,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
184,7.455549295774648,1,29.3,74.8,29.30,748,29.3,74.8,29.30,748,green_difference/PSM7,gray_otsu/PSM7,29.3,74.8,ACCEPT_PRIMARY,0
185,7.496068585425597,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
186,7.536587875076546,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
